,url,start,end,subtitle
11393,https://www.youtube.com/watch?v=uNDj3YledkQ&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=47,"00:00:07,880","00:00:12,989",(박수)
11398,https://www.youtube.com/watch?v=uNDj3YledkQ&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=47,"00:00:24,503","00:00:29,493",(박수)
11683,https://www.youtube.com/watch?v=zCDaAhWxQ2Q&index=103&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:01,294","00:00:08,740",(박수)
11766,https://www.youtube.com/watch?v=zCDaAhWxQ2Q&index=103&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:05:31,674","00:05:33,606",(관객 : 박수)
11804,https://www.youtube.com/watch?v=zCDaAhWxQ2Q&index=103&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:07:39,673","00:07:48,703",(관객 : 박수)
11859,https://www.youtube.com/watch?v=zCDaAhWxQ2Q&index=103&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:10:51,008","00:10:53,493",끝나고 나서 제가 막 박수를 치면서
11898,https://www.youtube.com/watch?v=zCDaAhWxQ2Q&index=103&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:12:52,772","00:12:57,041",(관객 : 박수)
11900,https://www.youtube.com/watch?v=zCDaAhWxQ2Q&index=103&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:13:01,272","00:13:07,450",(관객 : 박수)
11943,https://www.youtube.com/watch?v=zCDaAhWxQ2Q&index=103&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:15:26,417","00:15:31,681",(관객 : 박수)
12084,https://www.youtube.com/watch?v=Nu1nMc3g3Uk&index=49&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:07:32,775","00:07:36,399",(박수)
12106,https://www.youtube.com/watch?v=Nu1nMc3g3Uk&index=49&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:08:38,236","00:08:42,378",(웃음과 박수)
12181,https://www.youtube.com/watch?v=Nu1nMc3g3Uk&index=49&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:13:02,742","00:13:07,626",(박수)
12372,https://www.youtube.com/watch?v=ozdt_rTL57A&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=50,"00:08:29,274","00:08:32,944",(박수)
12422,https://www.youtube.com/watch?v=ozdt_rTL57A&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=50,"00:12:35,066","00:12:38,986",(박수)
13090,https://www.youtube.com/watch?v=miJhrWBHhwo&index=52&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:13:20,067","00:13:23,216",(박수)
13095,https://www.youtube.com/watch?v=miJhrWBHhwo&index=52&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:13:42,070","00:13:43,470",(박수)
13149,https://www.youtube.com/watch?v=miJhrWBHhwo&index=52&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:16:32,183","00:16:35,899",(웃음과 박수)
13458,https://www.youtube.com/watch?v=az3RmsPeVT0&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=54,"00:00:09,597","00:00:12,247",(박수)
13460,https://www.youtube.com/watch?v=az3RmsPeVT0&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=54,"00:00:14,497","00:00:17,147",(박수)
13462,https://www.youtube.com/watch?v=az3RmsPeVT0&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=54,"00:00:21,116","00:00:24,196",(박수)
13753,https://www.youtube.com/watch?v=az3RmsPeVT0&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=54,"00:14:57,269","00:15:00,455",(박수)
13760,https://www.youtube.com/watch?v=myQeHo6IRv8&index=55&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:05,620","00:00:08,679",(박수와 환호)
14287,https://www.youtube.com/watch?v=4vf71p7VnB8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=57,"00:00:09,690","00:00:16,249",(박수와 환호)
